City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed	Date (Readable)
wana	0	PK	1556695661	23	32.31	69.59	16.13	5.37	01 May 2019 00:27:41 Pacific Daylight Time
vaini	0	IN	1556694000	36	15.34	74.49	34	4.1	01 May 2019 00:00:00 Pacific Daylight Time
saint-raymond	1	CA	1556695342	39	46.89	-71.84	0	4.1	01 May 2019 00:22:22 Pacific Daylight Time
georgetown	40	GY	1556690400	100	6.8	-58.16	24	2.1	30 Apr 2019 23:00:00 Pacific Daylight Time
constitucion	13	MX	1556695216	26	23.99	-104.67	16.11	4.02	01 May 2019 00:20:16 Pacific Daylight Time
hobart	75	AU	1556695455	59	-42.88	147.33	16	3.6	01 May 2019 00:24:15 Pacific Daylight Time
koshurnikovo	57	RU	1556695663	74	54.3	93.39	7.23	6.79	01 May 2019 00:27:43 Pacific Daylight Time
hambantota	20	LK	1556694600	67	6.12	81.12	34	7.7	01 May 2019 00:10:00 Pacific Daylight Time
norman wells	90	CA	1556694000	100	65.28	-126.83	-1	1	01 May 2019 00:00:00 Pacific Daylight Time
ilebo	77	CD	1556695665	96	-4.33	20.59	22.83	0.79	01 May 2019 00:27:45 Pacific Daylight Time
tessalit	0	ML	1556695665	10	20.2	1.01	27.43	3.87	01 May 2019 00:27:45 Pacific Daylight Time
qasigiannguit	1	GL	1556693400	36	68.82	-51.19	7	9.8	30 Apr 2019 23:50:00 Pacific Daylight Time
hovd	75	NO	1556695517	81	63.83	10.7	7.78	4.1	01 May 2019 00:25:17 Pacific Daylight Time
cidreira	60	BR	1556695667	76	-30.17	-50.22	19.43	1.8	01 May 2019 00:27:47 Pacific Daylight Time
saint andrews	0	NZ	1556695633	83	-44.53	171.19	10	1.26	01 May 2019 00:27:13 Pacific Daylight Time
cabo san lucas	1	MX	1556695250	67	22.89	-109.91	21.67	5.16	01 May 2019 00:20:50 Pacific Daylight Time
oyon	9	PE	1556695668	84	-10.67	-76.77	4.43	3.2	01 May 2019 00:27:48 Pacific Daylight Time
airai	93	TL	1556695668	67	-8.93	125.41	28.83	2.59	01 May 2019 00:27:48 Pacific Daylight Time
kaitangata	23	NZ	1556695569	67	-46.28	169.85	12.22	2.24	01 May 2019 00:26:09 Pacific Daylight Time
qaanaaq	0	GL	1556695668	66	77.48	-69.36	-2.18	2.32	01 May 2019 00:27:48 Pacific Daylight Time
nikolskoye	0	RU	1556695537	26	59.7	30.79	14	4	01 May 2019 00:25:37 Pacific Daylight Time
chernyshevskiy	100	RU	1556695669	75	63.01	112.47	3.23	3.56	01 May 2019 00:27:49 Pacific Daylight Time
rosehearty	75	GB	1556695564	87	57.7	-2.11	11.11	2.1	01 May 2019 00:26:04 Pacific Daylight Time
atuona	99	PF	1556695375	73	-9.8	-139.03	28.33	5.86	01 May 2019 00:22:55 Pacific Daylight Time
avera	90	US	1556695668	94	33.19	-82.53	21.67	2.1	01 May 2019 00:27:48 Pacific Daylight Time
najran	0	SA	1556694000	18	17.54	44.22	33	2.6	01 May 2019 00:00:00 Pacific Daylight Time
nome	90	US	1556695669	83	30.04	-94.42	24.44	2.6	01 May 2019 00:27:49 Pacific Daylight Time
naze	40	NG	1556690400	94	5.43	7.07	25	1.45	30 Apr 2019 23:00:00 Pacific Daylight Time
kaeo	0	NZ	1556695380	87	-35.1	173.78	12.22	2.6	01 May 2019 00:23:00 Pacific Daylight Time
port alfred	1	ZA	1556695252	81	-33.59	26.89	18.89	2.24	01 May 2019 00:20:52 Pacific Daylight Time
bubaque	100	GW	1556695672	74	11.28	-15.83	25.23	5.44	01 May 2019 00:27:52 Pacific Daylight Time
ahipara	0	NZ	1556695380	87	-35.17	173.16	12.22	8.61	01 May 2019 00:23:00 Pacific Daylight Time
jamestown	0	AU	1556695673	31	-33.21	138.6	18.53	7.96	01 May 2019 00:27:53 Pacific Daylight Time
ancud	90	CL	1556694000	100	-41.87	-73.83	10	7.7	01 May 2019 00:00:00 Pacific Daylight Time
griffith	90	AU	1556695516	64	-34.29	146.06	22	6.7	01 May 2019 00:25:16 Pacific Daylight Time
barrow	64	AR	1556695674	31	-38.31	-60.23	10.23	4.94	01 May 2019 00:27:54 Pacific Daylight Time
prince rupert	90	CA	1556694120	87	54.32	-130.32	8	2.6	01 May 2019 00:02:00 Pacific Daylight Time
mehamn	100	NO	1556695675	71	71.03	27.85	-2.68	5.72	01 May 2019 00:27:55 Pacific Daylight Time
singaraja	31	ID	1556695675	66	-8.11	115.08	29.73	3.42	01 May 2019 00:27:55 Pacific Daylight Time
ostrovnoy	100	RU	1556695676	69	68.05	39.51	-2.38	4.73	01 May 2019 00:27:56 Pacific Daylight Time
thompson	40	CA	1556694000	74	55.74	-97.86	1	1.5	01 May 2019 00:00:00 Pacific Daylight Time
sur	0	OM	1556695676	14	22.57	59.53	36.13	1.31	01 May 2019 00:27:56 Pacific Daylight Time
truth or consequences	1	US	1556694970	25	33.13	-107.25	17.22	4.6	01 May 2019 00:16:10 Pacific Daylight Time
sao joao da barra	24	BR	1556695677	94	-21.64	-41.05	19.83	0.33	01 May 2019 00:27:57 Pacific Daylight Time
saldanha	0	PT	1556695677	80	41.42	-6.55	11.23	1.57	01 May 2019 00:27:57 Pacific Daylight Time
alice springs	40	AU	1556694000	28	-23.7	133.88	30	8.2	01 May 2019 00:00:00 Pacific Daylight Time
wanning	40	AT	1556695648	81	48.64	13.53	11.11	6.7	01 May 2019 00:27:28 Pacific Daylight Time
pachmarhi	0	IN	1556695678	10	22.47	78.44	40.53	4.11	01 May 2019 00:27:58 Pacific Daylight Time
roma	0	IT	1556695407	87	41.89	12.48	14.44	2.1	01 May 2019 00:23:27 Pacific Daylight Time
marzuq	48	YE	1556695679	16	14.4	46.47	29.23	2.81	01 May 2019 00:27:59 Pacific Daylight Time
bouna	98	CI	1556695679	88	9.27	-3	24.73	3.49	01 May 2019 00:27:59 Pacific Daylight Time
vostok	88	RU	1556695679	53	46.45	135.83	13.43	2.82	01 May 2019 00:27:59 Pacific Daylight Time
stauceni	40	MD	1556695642	71	47.09	28.87	17.22	7.7	01 May 2019 00:27:22 Pacific Daylight Time
mar del plata	0	AR	1556695680	70	-46.43	-67.52	6.93	4.93	01 May 2019 00:28:00 Pacific Daylight Time
pasighat	100	IN	1556695680	97	28.06	95.33	17.53	0.87	01 May 2019 00:28:00 Pacific Daylight Time
mandera	93	ET	1556695418	53	3.94	41.86	31.03	5.1	01 May 2019 00:23:38 Pacific Daylight Time
san gabriel	90	US	1556695461	71	34.1	-118.11	14.44	1.69	01 May 2019 00:24:21 Pacific Daylight Time
viborg	75	DK	1556695518	87	56.45	9.41	10.56	6.7	01 May 2019 00:25:18 Pacific Daylight Time
ilhabela	60	BR	1556695682	80	-23.78	-45.36	24.63	5.43	01 May 2019 00:28:02 Pacific Daylight Time
lompoc	1	US	1556695391	93	34.64	-120.46	12.78	2.74	01 May 2019 00:23:11 Pacific Daylight Time
ossora	98	RU	1556695683	64	59.24	163.07	1.63	5.29	01 May 2019 00:28:03 Pacific Daylight Time
antofagasta	0	CL	1556694000	82	-23.65	-70.4	15	1.5	01 May 2019 00:00:00 Pacific Daylight Time
hami	64	CN	1556695689	11	42.84	93.51	24.53	1.11	01 May 2019 00:28:09 Pacific Daylight Time
new norfolk	0	AU	1556695639	59	-42.78	147.06	16	1.5	01 May 2019 00:27:19 Pacific Daylight Time
bredasdorp	8	ZA	1556695007	82	-34.53	20.04	17	1	01 May 2019 00:16:47 Pacific Daylight Time
paamiut	91	GL	1556695692	58	61.99	-49.67	4.13	3.19	01 May 2019 00:28:12 Pacific Daylight Time
aklavik	90	CA	1556694000	71	68.22	-135.01	0	2.6	01 May 2019 00:00:00 Pacific Daylight Time
khatanga	3	RU	1556695692	85	71.98	102.47	-8.68	2.47	01 May 2019 00:28:12 Pacific Daylight Time
constantine	0	DZ	1556694000	76	36.36	6.61	11	0.5	01 May 2019 00:00:00 Pacific Daylight Time
kapaa	90	US	1556695393	83	22.08	-159.32	24	7.7	01 May 2019 00:23:13 Pacific Daylight Time
tasiilaq	95	GL	1556689800	93	65.61	-37.64	2	2.1	30 Apr 2019 22:50:00 Pacific Daylight Time
yellowknife	90	CA	1556695571	78	62.45	-114.38	-12	2.6	01 May 2019 00:26:11 Pacific Daylight Time
baoshan	0	CN	1556695691	38	31.41	121.49	23	6	01 May 2019 00:28:11 Pacific Daylight Time
vryburg	0	ZA	1556695694	45	-26.96	24.73	15.03	2.57	01 May 2019 00:28:14 Pacific Daylight Time
kodiak	90	US	1556695625	100	39.95	-94.76	13	4.1	01 May 2019 00:27:05 Pacific Daylight Time
provideniya	100	RU	1556695695	98	64.42	-173.23	-0.28	1.02	01 May 2019 00:28:15 Pacific Daylight Time
trelew	2	AR	1556695695	56	-43.25	-65.31	10.03	5.45	01 May 2019 00:28:15 Pacific Daylight Time
chimbote	47	PE	1556695696	93	-9.08	-78.59	19.23	6.28	01 May 2019 00:28:16 Pacific Daylight Time
castro	90	CL	1556694000	100	-42.48	-73.76	10	7.7	01 May 2019 00:00:00 Pacific Daylight Time
ust-nera	77	RU	1556695697	66	64.57	143.24	-4.18	1.49	01 May 2019 00:28:17 Pacific Daylight Time
saint anthony	1	US	1556695536	50	43.97	-111.68	1	2.1	01 May 2019 00:25:36 Pacific Daylight Time
arman	0	RU	1556695698	46	59.7	150.17	5.93	1.27	01 May 2019 00:28:18 Pacific Daylight Time
chokurdakh	98	RU	1556695698	91	70.62	147.9	-6.58	1.86	01 May 2019 00:28:18 Pacific Daylight Time
nanortalik	100	GL	1556695699	60	60.14	-45.24	5.43	12.08	01 May 2019 00:28:19 Pacific Daylight Time
dingle	56	PH	1556695699	53	11	122.67	31.73	1.17	01 May 2019 00:28:19 Pacific Daylight Time
iqaluit	90	CA	1556695363	85	63.75	-68.52	-5	11.3	01 May 2019 00:22:43 Pacific Daylight Time
jawhar	0	IN	1556695700	29	19.91	73.23	34.93	3.81	01 May 2019 00:28:20 Pacific Daylight Time
morant bay	20	JM	1556694000	65	17.88	-76.41	27	6.2	01 May 2019 00:00:00 Pacific Daylight Time
jati	0	PK	1556695443	8	24.35	68.27	38.83	2.02	01 May 2019 00:24:03 Pacific Daylight Time
omboue	99	GA	1556695701	84	-1.57	9.26	27.13	2.79	01 May 2019 00:28:21 Pacific Daylight Time
empangeni	0	ZA	1556695701	68	-28.75	31.9	21.33	3.21	01 May 2019 00:28:21 Pacific Daylight Time
avallon	0	FR	1556695701	92	47.49	3.91	6.83	0.81	01 May 2019 00:28:21 Pacific Daylight Time
saint-philippe	90	CA	1556695658	35	45.36	-73.48	5.56	6.2	01 May 2019 00:27:38 Pacific Daylight Time
port elizabeth	1	US	1556695681	87	39.31	-74.98	13.33	3.6	01 May 2019 00:28:01 Pacific Daylight Time
valea mare	48	RO	1556695588	89	45.76	26.01	8.33	5.36	01 May 2019 00:26:28 Pacific Daylight Time
bandarbeyla	70	SO	1556695509	47	9.49	50.81	29.43	1.53	01 May 2019 00:25:09 Pacific Daylight Time
los llanos de aridane	20	ES	1556695532	77	28.66	-17.92	18	6.2	01 May 2019 00:25:32 Pacific Daylight Time
fare	56	PF	1556695703	76	-16.7	-151.02	27.53	12.43	01 May 2019 00:28:23 Pacific Daylight Time
victoria	75	BN	1556694000	66	5.28	115.24	32	1.5	01 May 2019 00:00:00 Pacific Daylight Time
axim	47	GH	1556695704	87	4.87	-2.24	26.33	1.44	01 May 2019 00:28:24 Pacific Daylight Time
pacific grove	90	US	1556695624	66	36.62	-121.92	12	1.5	01 May 2019 00:27:04 Pacific Daylight Time
lagunillas	98	VE	1556695705	42	8.5	-71.39	20.53	4.2	01 May 2019 00:28:25 Pacific Daylight Time
gamba	0	CN	1556695705	16	28.28	88.52	7.53	5.68	01 May 2019 00:28:25 Pacific Daylight Time
tingi	76	TZ	1556695705	89	-11.3	35.03	19.63	3.92	01 May 2019 00:28:25 Pacific Daylight Time
puerto ayora	25	EC	1556695706	88	-0.74	-90.35	25.93	2.76	01 May 2019 00:28:26 Pacific Daylight Time
awjilah	54	LY	1556695706	34	29.14	21.3	24.63	5.19	01 May 2019 00:28:26 Pacific Daylight Time
jalu	56	LY	1556695706	33	29.03	21.55	24.83	5.36	01 May 2019 00:28:26 Pacific Daylight Time
sault sainte marie	90	CA	1556694000	52	46.49	-84.36	7	4.6	01 May 2019 00:00:00 Pacific Daylight Time
kirakira	93	SB	1556695707	78	-10.46	161.92	28.23	1.73	01 May 2019 00:28:27 Pacific Daylight Time
gat	87	SN	1556695707	77	14.69	-16.54	20.33	5.84	01 May 2019 00:28:27 Pacific Daylight Time
inuvik	90	CA	1556694000	90	68.36	-133.71	0	2.6	01 May 2019 00:00:00 Pacific Daylight Time
longyearbyen	75	NO	1556693400	67	78.22	15.63	-8	4.6	30 Apr 2019 23:50:00 Pacific Daylight Time
garowe	62	SO	1556695552	34	8.41	48.48	29.23	2.59	01 May 2019 00:25:52 Pacific Daylight Time
faanui	46	PF	1556695709	78	-16.48	-151.75	27.83	12.27	01 May 2019 00:28:29 Pacific Daylight Time
dhidhdhoo	100	MV	1556695709	78	6.88	73.1	29.43	5.11	01 May 2019 00:28:29 Pacific Daylight Time
ihosy	75	MG	1556695709	83	-22.4	46.13	16.53	4.3	01 May 2019 00:28:29 Pacific Daylight Time
laguna	0	MX	1556695709	34	27.52	-110.01	22.53	3.34	01 May 2019 00:28:29 Pacific Daylight Time
narsaq	75	GL	1556691600	25	60.91	-46.05	11	14.4	30 Apr 2019 23:20:00 Pacific Daylight Time
geraldton	90	CA	1556694000	40	49.72	-86.95	1	5.1	01 May 2019 00:00:00 Pacific Daylight Time
cherskiy	96	RU	1556695711	85	68.75	161.3	-1.18	1.24	01 May 2019 00:28:31 Pacific Daylight Time
coihaique	20	CL	1556694000	93	-45.58	-72.07	6	2.1	01 May 2019 00:00:00 Pacific Daylight Time
hithadhoo	86	MV	1556695712	79	-0.6	73.08	29.33	5.85	01 May 2019 00:28:32 Pacific Daylight Time
sao filipe	7	CV	1556695712	86	14.9	-24.5	21.93	7.59	01 May 2019 00:28:32 Pacific Daylight Time
maumere	4	ID	1556695712	69	-8.63	122.22	28.23	3.83	01 May 2019 00:28:32 Pacific Daylight Time
buraydah	0	SA	1556694000	35	26.33	43.97	31	4.1	01 May 2019 00:00:00 Pacific Daylight Time
katsuura	75	JP	1556695711	93	33.93	134.5	17.78	2.6	01 May 2019 00:28:31 Pacific Daylight Time
dalbandin	0	PK	1556695713	10	28.9	64.41	27.83	2.17	01 May 2019 00:28:33 Pacific Daylight Time
ilulissat	4	GL	1556693400	36	69.22	-51.1	7	9.8	30 Apr 2019 23:50:00 Pacific Daylight Time
shache	80	CN	1556695714	10	38.42	77.24	22.53	4.8	01 May 2019 00:28:34 Pacific Daylight Time
burnie	100	AU	1556695684	79	-41.05	145.91	17.22	1.79	01 May 2019 00:28:04 Pacific Daylight Time
wageningen	90	NL	1556695695	81	51.98	5.66	11.11	0.5	01 May 2019 00:28:15 Pacific Daylight Time
labuhan	67	ID	1556695715	53	-2.54	115.51	32.83	2.23	01 May 2019 00:28:35 Pacific Daylight Time
zatoka	0	PL	1556695672	81	50.04	20.52	13.33	5.7	01 May 2019 00:27:52 Pacific Daylight Time
alofi	6	NU	1556694000	88	-19.06	-169.92	25	1.5	01 May 2019 00:00:00 Pacific Daylight Time
torbay	75	CA	1556695714	79	47.66	-52.73	-1	6.2	01 May 2019 00:28:34 Pacific Daylight Time
dasoguz	0	TM	1556694000	43	41.84	59.97	22	2.1	01 May 2019 00:00:00 Pacific Daylight Time
broome	40	GB	1556695684	93	52.47	1.45	11.11	2.1	01 May 2019 00:28:04 Pacific Daylight Time
severo-kurilsk	3	RU	1556695717	75	50.68	156.12	3.13	4.56	01 May 2019 00:28:37 Pacific Daylight Time
wilmington	90	US	1556695557	76	39.75	-75.55	13	3.1	01 May 2019 00:25:57 Pacific Daylight Time
charlestown	90	US	1556695712	93	41.38	-71.64	7.78	0.98	01 May 2019 00:28:32 Pacific Daylight Time
gualeguay	0	AR	1556695718	70	-33.15	-59.31	9.13	2.22	01 May 2019 00:28:38 Pacific Daylight Time
mahebourg	75	MU	1556695444	73	-20.41	57.7	26.11	7.7	01 May 2019 00:24:04 Pacific Daylight Time
ribeira grande	75	PT	1556694000	71	38.52	-28.7	14	4.1	01 May 2019 00:00:00 Pacific Daylight Time
saskylakh	0	RU	1556695719	89	71.97	114.09	-11.18	3.22	01 May 2019 00:28:39 Pacific Daylight Time
eureka	1	US	1556695425	70	40.8	-124.16	9.44	2.1	01 May 2019 00:23:45 Pacific Daylight Time
ishim	65	RU	1556695719	49	56.11	69.47	4.23	6.37	01 May 2019 00:28:39 Pacific Daylight Time
ust-maya	27	RU	1556695720	52	60.42	134.54	3.13	1.64	01 May 2019 00:28:40 Pacific Daylight Time
hilo	75	US	1556695699	69	19.71	-155.08	24	2.1	01 May 2019 00:28:19 Pacific Daylight Time
cayenne	74	GF	1556694000	88	4.94	-52.33	26	2.6	01 May 2019 00:00:00 Pacific Daylight Time
ponta do sol	84	BR	1556695721	95	-20.63	-46	15.93	1.22	01 May 2019 00:28:41 Pacific Daylight Time
namibe	20	AO	1556690400	93	-15.19	12.15	17	2	30 Apr 2019 23:00:00 Pacific Daylight Time
abasolo	20	MX	1556695722	33	20.45	-101.53	19.23	1.78	01 May 2019 00:28:42 Pacific Daylight Time
te anau	36	NZ	1556695722	92	-45.41	167.72	7.93	2.03	01 May 2019 00:28:42 Pacific Daylight Time
deputatskiy	1	RU	1556695722	82	69.3	139.9	-8.88	1.79	01 May 2019 00:28:42 Pacific Daylight Time
east london	0	ZA	1556694000	64	-33.02	27.91	21	4.1	01 May 2019 00:00:00 Pacific Daylight Time
tapes	58	BR	1556695723	86	-30.67	-51.4	19.23	4.23	01 May 2019 00:28:43 Pacific Daylight Time
mayo	75	CA	1556694000	48	63.59	-135.9	5	1.93	01 May 2019 00:00:00 Pacific Daylight Time
nyurba	100	RU	1556695724	82	63.29	118.35	4.13	2.33	01 May 2019 00:28:44 Pacific Daylight Time
namtsy	0	RU	1556694000	24	62.72	129.66	6	5	01 May 2019 00:00:00 Pacific Daylight Time
novovasylivka	100	UA	1556695725	84	48.2	37.04	11.93	6.14	01 May 2019 00:28:45 Pacific Daylight Time
sola	90	NO	1556695693	87	58.89	5.65	8.33	5.1	01 May 2019 00:28:13 Pacific Daylight Time
lorengau	100	PG	1556695726	82	-2.02	147.27	28.03	0.58	01 May 2019 00:28:46 Pacific Daylight Time
shizukuishi	75	JP	1556694000	77	39.7	140.98	19	3.6	01 May 2019 00:00:00 Pacific Daylight Time
shimoda	75	JP	1556695615	88	34.7	138.93	19	4.1	01 May 2019 00:26:55 Pacific Daylight Time
mount isa	90	AU	1556692200	33	-20.73	139.49	32	3.6	30 Apr 2019 23:30:00 Pacific Daylight Time
ibra	0	OM	1556695727	9	22.69	58.55	34.13	6.04	01 May 2019 00:28:47 Pacific Daylight Time
prince george	1	CA	1556695518	64	53.92	-122.75	5	3.1	01 May 2019 00:25:18 Pacific Daylight Time
poum	40	MK	1556694000	62	41.28	20.71	11	4.6	01 May 2019 00:00:00 Pacific Daylight Time
gwadar	0	PK	1556695728	67	25.12	62.33	27.93	4.25	01 May 2019 00:28:48 Pacific Daylight Time
umm kaddadah	69	SD	1556695504	10	13.6	26.69	30.13	1.63	01 May 2019 00:25:04 Pacific Daylight Time
ugoofaaru	100	MV	1556695728	79	5.67	73	29.23	5.61	01 May 2019 00:28:48 Pacific Daylight Time
ust-omchug	1	RU	1556695729	77	61.13	149.63	-0.78	1.55	01 May 2019 00:28:49 Pacific Daylight Time
manono	97	CD	1556695729	66	-7.3	27.4	25.03	1.17	01 May 2019 00:28:49 Pacific Daylight Time
galeana	67	MX	1556695729	17	24.83	-100.08	17.33	2.04	01 May 2019 00:28:49 Pacific Daylight Time
havre-saint-pierre	40	CA	1556694000	63	50.23	-63.6	-2	5.1	01 May 2019 00:00:00 Pacific Daylight Time
ninghai	40	CN	1556695644	57	29.29	121.42	25.56	5	01 May 2019 00:27:24 Pacific Daylight Time
yumen	6	CN	1556695730	11	40.29	97.04	22.93	11.3	01 May 2019 00:28:50 Pacific Daylight Time
turukhansk	0	RU	1556695731	81	65.8	87.96	-5.88	4.14	01 May 2019 00:28:51 Pacific Daylight Time
asyut	0	EG	1556690400	30	27.18	31.19	28	2.6	30 Apr 2019 23:00:00 Pacific Daylight Time
salym	46	RU	1556695732	60	60.06	71.48	2.43	5.15	01 May 2019 00:28:52 Pacific Daylight Time
kenitra	40	MA	1556695020	88	34.26	-6.57	17.78	2.6	01 May 2019 00:17:00 Pacific Daylight Time
salem	1	US	1556695702	66	44.94	-123.03	11.11	2.01	01 May 2019 00:28:22 Pacific Daylight Time
mokhsogollokh	58	RU	1556695734	42	61.4	128.95	4.93	5.21	01 May 2019 00:28:54 Pacific Daylight Time
north platte	90	US	1556695538	93	41.12	-100.77	4	3.6	01 May 2019 00:25:38 Pacific Daylight Time
lingao	20	CN	1556695734	77	19.91	109.69	25.83	4.29	01 May 2019 00:28:54 Pacific Daylight Time
arraial do cabo	0	BR	1556690400	78	-22.97	-42.02	22	1.5	30 Apr 2019 23:00:00 Pacific Daylight Time
cascais	20	PT	1556695623	87	38.7	-9.42	15	11.3	01 May 2019 00:27:03 Pacific Daylight Time
port-gentil	75	GA	1556694000	88	-0.72	8.78	27	2.1	01 May 2019 00:00:00 Pacific Daylight Time
esmeraldas	20	BR	1556694000	93	-19.76	-44.31	20	2.6	01 May 2019 00:00:00 Pacific Daylight Time
gazojak	36	TM	1556695736	34	41.19	61.4	20.13	4.02	01 May 2019 00:28:56 Pacific Daylight Time
kahului	20	US	1556695636	69	20.89	-156.47	24	4.6	01 May 2019 00:27:16 Pacific Daylight Time
lebu	16	ET	1556695737	53	8.96	38.73	18.83	1.84	01 May 2019 00:28:57 Pacific Daylight Time
vardo	90	US	1556695730	72	39.62	-77.74	17.22	3.1	01 May 2019 00:28:50 Pacific Daylight Time
salamiyah	0	SY	1556695737	39	35.01	37.05	21.13	1.3	01 May 2019 00:28:57 Pacific Daylight Time
talnakh	20	RU	1556694000	77	69.49	88.39	-14	3	01 May 2019 00:00:00 Pacific Daylight Time
tayzhina	65	RU	1556695738	38	53.67	87.44	4.73	7.75	01 May 2019 00:28:58 Pacific Daylight Time
toyooka	75	JP	1556694000	100	35.55	134.82	14	3.1	01 May 2019 00:00:00 Pacific Daylight Time
cimarron hills	90	US	1556695698	86	38.86	-104.7	3.33	4.1	01 May 2019 00:28:18 Pacific Daylight Time
povenets	100	RU	1556695739	61	62.85	34.83	7.23	4.26	01 May 2019 00:28:59 Pacific Daylight Time
nouadhibou	40	MR	1556694000	88	20.93	-17.03	17	2.6	01 May 2019 00:00:00 Pacific Daylight Time
agua branca	100	BR	1556695740	94	-5.89	-42.63	23.23	1.33	01 May 2019 00:29:00 Pacific Daylight Time
byron bay	75	AU	1556695553	83	-28.65	153.62	21	5.7	01 May 2019 00:25:53 Pacific Daylight Time
tuatapere	74	NZ	1556695214	78	-46.13	167.69	13.89	9.66	01 May 2019 00:20:14 Pacific Daylight Time
nabire	100	ID	1556695741	98	-3.36	135.5	23.63	1.03	01 May 2019 00:29:01 Pacific Daylight Time
dali	21	CN	1556695741	33	25.6	100.24	23.63	5.93	01 May 2019 00:29:01 Pacific Daylight Time
nehe	0	CN	1556695741	20	48.48	124.88	16.83	5.44	01 May 2019 00:29:01 Pacific Daylight Time
petropavlovsk-kamchatskiy	0	RU	1556694000	20	53.05	158.65	14	6	01 May 2019 00:00:00 Pacific Daylight Time
caraballeda	20	VE	1556694982	78	10.61	-66.85	26	2.69	01 May 2019 00:16:22 Pacific Daylight Time
salalah	0	OM	1556693400	62	17.01	54.1	32	3.6	30 Apr 2019 23:50:00 Pacific Daylight Time
caravelas	36	BR	1556695743	90	-17.73	-39.27	24.13	1.62	01 May 2019 00:29:03 Pacific Daylight Time
chekhov	0	RU	1556694000	24	55.14	37.45	13	4	01 May 2019 00:00:00 Pacific Daylight Time
paralimni	23	GR	1556695685	38	40.99	23.67	18.89	5.36	01 May 2019 00:28:05 Pacific Daylight Time
svetlaya	71	RU	1556695743	41	46.54	138.33	11.03	3.3	01 May 2019 00:29:03 Pacific Daylight Time
